Date,Close
2018-11-05,193.25
2018-11-06,195.300003
2018-11-07,201.28999299999998
2018-11-08,204.070007
2018-11-09,201.100006
2018-11-12,197.03999299999998
2018-11-13,198.369995
2018-11-14,198.059998
2018-11-15,204.91000400000001
2018-11-16,209.0
2018-11-19,205.580002
2018-11-20,200.509995
2018-11-21,198.690002
2018-11-23,196.800003
2018-11-26,199.860001
2018-11-27,200.690002
2018-11-28,204.33999599999999
2018-11-29,204.559998
2018-11-30,207.919998
2018-12-03,208.759995
2018-12-04,202.199997
2018-12-06,202.679993
2018-12-07,198.240005
2018-12-10,198.320007
2018-12-11,197.46000700000002
2018-12-12,199.809998
2018-12-13,202.130005
2018-12-14,196.100006
2018-12-17,192.820007
2018-12-18,194.559998
2018-12-19,189.96000700000002
2018-12-20,187.380005
2018-12-21,183.75
2018-12-24,178.619995
2018-12-26,186.259995
2018-12-27,190.699997
2018-12-28,189.369995
2018-12-31,190.53999299999998
2019-01-02,190.949997
2019-01-03,183.759995
2019-01-04,191.320007
2019-01-07,190.880005
2019-01-08,191.679993
2019-01-09,192.300003
2019-01-10,193.600006
2019-01-11,192.21000700000002
2019-01-14,192.169998
2019-01-15,188.940002
2019-01-16,189.479996
2019-01-17,191.71000700000002
2019-01-18,195.860001
2019-01-22,192.259995
2019-01-23,192.28999299999998
2019-01-24,192.520004
2019-01-25,195.899994
2019-01-28,193.199997
2019-01-29,196.949997
2019-01-30,199.270004
2019-01-31,200.300003
2019-02-01,199.16000400000001
2019-02-04,200.21000700000002
2019-02-05,201.119995
2019-02-06,202.570007
2019-02-07,199.83999599999999
2019-02-08,199.820007
2019-02-11,200.91000400000001
2019-02-12,206.570007
2019-02-13,209.72000099999997
2019-02-14,204.929993
2019-02-15,208.860001
2019-02-19,208.41000400000001
2019-02-20,208.529999
2019-02-21,207.770004
2019-02-22,209.350006
2019-02-25,210.580002
2019-02-26,209.380005
2019-02-27,209.029999
2019-02-28,207.389999
2019-03-01,207.490005
